size_bytes,duration_seconds,file_extension,filepath_anonymized,size_mb,duration_min
9499692,237.3795,mp3,Sonica/audio/rehearsal archive/20190413/song_13_v4.mp3,9.059612274169922,3.956325
6909528,172.6254,mp3,Sonica/audio/rehearsal archive/20190413/song_14_v3.mp3,6.589439392089844,2.8770900000000004
7546368,188.5464,mp3,Sonica/audio/rehearsal archive/20190413/song_15_v2 (WIP).mp3,7.19677734375,3.14244
7222728,180.4554,mp3,Sonica/audio/rehearsal archive/20190413/song_16_v1 (WIP).mp3,6.888130187988281,3.00759
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._ocean_Blue_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_03_v8.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_04_v6 (WIP).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_05_v10.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_07_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_09_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_10_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_11_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_12_v3.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_13_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_14_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_15_v3 (WIP).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_16_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_17_v1 (Sunburst Finish).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190427/._song_18_v1 (Curves).mp3,0.00390625,
7266030,181.5516,mp3,Sonica/audio/rehearsal archive/20190427/ocean_Blue_v2.mp3,6.929426193237305,3.02586
7226904,180.5598,mp3,Sonica/audio/rehearsal archive/20190427/song_03_v8.mp3,6.892112731933594,3.00933
6765456,169.0236,mp3,Sonica/audio/rehearsal archive/20190427/song_04_v6 (WIP).mp3,6.4520416259765625,2.8170599999999997
12824832,320.508,mp3,Sonica/audio/rehearsal archive/20190427/song_05_v10.mp3,12.230712890625,5.3418
8852412,221.1975,mp3,Sonica/audio/rehearsal archive/20190427/song_07_v5.mp3,8.442317962646484,3.686625
11145036,278.5131,mp3,Sonica/audio/rehearsal archive/20190427/song_09_v6.mp3,10.628734588623047,4.641885
15727152,393.066,mp3,Sonica/audio/rehearsal archive/20190427/song_10_v4.mp3,14.998580932617188,6.5511
9933996,248.2371,mp3,Sonica/audio/rehearsal archive/20190427/song_11_v6.mp3,9.473796844482422,4.137285
11695224,292.2678,mp3,Sonica/audio/rehearsal archive/20190427/song_12_v3.mp3,11.153434753417969,4.87113
11270316,281.6451,mp3,Sonica/audio/rehearsal archive/20190427/song_13_v5.mp3,10.748210906982422,4.694085
9256440,231.2982,mp3,Sonica/audio/rehearsal archive/20190427/song_14_v4.mp3,8.827629089355469,3.8549700000000002
